title,link,year,abstract,keyword
对山地丘陵城市系统化全域推进海绵城市建设实施方案编制的思考——浙江金华案例,https://kns.cnki.net/kcms2/article/abstract?v=LYi8dJWcB0VBrwrnOz8DO3islFi6HzoWTUuh5hUs-jCw_YgyRqM0YZsyyfTQEY1GhlOAWWubG3Y-eCjLl6WhBpBP_Kw1NGjbdyIcThk4QbAa9cuVir-3JPBT4pFXOZHMN-tPJ_W8gqWy-1kjPjbdXSJvroD3WMQYJi4sPgd-jCxAldL0dhzRvw==&uniplatform=NZKPT&language=CHS,2025,【目的】海绵城市建设实施方案是指导近期3～5年海绵城市建设的重要依据，但当前大部分城市仍按照水生态、水安全、水环境、水资源的“四水”框架开展方案编制，对城市拟通过海绵城市解决的主要矛盾把握不足，文章旨在突破标准化的编制范式，提供一种以问题为导向的海绵城市建设实施方案编制思路。【方法】以全国第二批海绵示范城市浙江金华为例，在深入剖析“微丘地貌洪涝叠加风险高”“水系发源地旱、污、涝交织”两大核心问题的基础上，围绕问题的解决精准锚定“微丘地貌区洪涝统筹示范”和“水系发源地海绵城市示范”2个示范目标，提出“以内涝治理为核心，统筹洪水管控、污染治理和城市抗旱”的总体建设思路。在示范期，海绵城市建设实施路径的确定、先行片区的谋划和建设项目的统筹安排上，始终锚定解决两大核心问题一条主线，集中力量解决主要矛盾。【结果】实施方案的编制成为金华3年示范期推进海绵城市建设的总体纲领，指导金华海绵城市建设取得显著成效，并助力金华连续3年获得全国海绵示范城市绩效评价A档。【结论】其以问题为导向的海绵城市实施方案编制方法和研究思路可为其他山地丘陵城市方案编制提供借鉴。,内涝
提升城市空间韧性和工程韧性,https://kns.cnki.net/kcms2/article/abstract?v=LYi8dJWcB0VBrwrnOz8DO3islFi6HzoWTUuh5hUs-jDew9gOch9bvLMangnWwKwtt-QPTjAm_h88e-qiVFqxB7fDX1Dsb8CepdaczGwH56qzlxw4bKxtWH53cQIYZyMLJD17gFDnjtj0wfkZH2LDQfX8zBjOB1oqLack8lf2CFBKIlkTz6uGTA==&uniplatform=NZKPT&language=CHS,2025,<正>北京市面临暴雨山洪、内涝、高温等多种灾害威胁。在严峻的防灾减灾抗灾形势下，北京城市韧性存在结构失衡的问题。一是空间开发强度大，灾害风险高，应急避难场所不足。北京市城市化程度高，五环内不透水地面占比超60%，极端暴雨频发，城市内涝风险高。据北京市水务局统计，2022年北京城市积水内涝风险区面积达97.91km2。建设用地集聚诱发“城市热岛”效应，加剧了高温热浪事件。北京城市热岛效应在高温热浪期间可达2至3℃，市中心极端高温天数比郊区高2倍，防灾空间韧性格局亟待优化。,内涝
雨污分流改造工程中的排水施工技术研究,https://kns.cnki.net/kcms2/article/abstract?v=LYi8dJWcB0W2SxjTn0OOO93Xa_PkDMwalrN_QNSUToms4yLxA-HBD2849B1BTjETxIAteRVQinTm8qgYTqJc2JI-1lfNDGU84ylsXLb9r-UkZY7zBfqRGIaRxhKpjL57ZLnLg0uDXjlmWWhJmR5_fE6RXQYJwkS0LGb9xb7o4Iag0VtgR2BJuA==&uniplatform=NZKPT&language=CHS,2025,随着城市化进程的不断推进，城市排水系统面临着日益严峻的挑战。传统的合流制排水系统已难以满足现代城市发展的需求，雨污分流改造工程作为解决城市内涝和水污染问题的重要举措，其重要性日益凸显。本文以城镇、市政排水系统设计施工为主要论点，探讨雨污分流改造工程中的排水施工技术，为雨污分流改造工程提供全面的技术支撑，有效提升城市排水系统的运行效率，改善城市水环境质量，促进城市的可持续发展。,内涝
合力破除潮面村农田“水患”困局,https://kns.cnki.net/kcms2/article/abstract?v=LYi8dJWcB0W2SxjTn0OOO93Xa_PkDMwa0i9ZiPyQbqzm7ymtUGjW-1vJs3zzCiPvI8YkWCVQwNpl_EDJXuCRxJUlDfTU8Pp2mbhj_4o5TIzxxVlH89hLmbBHSDBOGCy2ymIxHu0W8C9Kk8xJdbQAJd-VwgHZc9uBr5kIHroFA_R2Y5iyp9qTaA==&uniplatform=NZKPT&language=CHS,2025,"近年，定海区白泉镇城市化快速推进，甬舟铁路项目及高铁新城项目建设如火如荼。当地的地形地貌、河流水系等也随之发生较大变化，原有的防洪排涝规划已无法满足现实需求。
由市人大常委会办公室和市新闻传媒中心联合主办的“我为群众办实事”栏目，本期聚焦白泉镇发展中遇到......",内涝
江津双福“智”水记,https://kns.cnki.net/kcms2/article/abstract?v=LYi8dJWcB0W2SxjTn0OOO93Xa_PkDMwa0i9ZiPyQbqzICzXBU8YUZhe7vtXDgC4FwPaCIHL0IjuCFcONhaCMWqo8FAYqUujCHObPTQiQLvolQXcxgLC636jV2NpodOvRkmKcoeS-BpCjOW39FtszPjPSuLbP5dgW-lrbueY7VyQsaApVz7vRCQ==&uniplatform=NZKPT&language=CHS,2025,"最大小时降雨强度80.3毫米！
今年7月20日，江津区双福街道遭遇了有气象记录以来最凶猛的短时暴雨。不过，这场暴雨仅造成极小的经济损失，不足2023年“6·1”内涝灾害的5%。
“从‘雨中抢险’到‘雨前布防’，这场防汛战役的胜负手，就藏在布设在各易涝点位的智能传感器与AI......",内涝
盘锦市长历时暴雨雨型分型、识别及特征分析,https://kns.cnki.net/kcms2/article/abstract?v=LYi8dJWcB0W2SxjTn0OOO93Xa_PkDMway9ZNCLCtL1_hcQFz-uXyfYorJInM5_9xwtKHT3IAM85KBAcNjyIPrsvt1fbVk_bMYLDkLIWGFQaAY5SpZCtOuux0-OfvAr0zrattS2jgzyRpfwgfzrtaNTl3495swfuDSehQBoAygMbxfbBWWrxuzA==&uniplatform=NZKPT&language=CHS,2025,暴雨雨型对于城市防洪排涝设计具有重要意义，基于1972—2023年盘锦市盘山国家气象站分钟降雨观测资料、东亚地面及高空天气形势资料，首先分析了盘锦市长历时(持续时间6～24 h)暴雨的气候及天气特征，然后利用模糊识别法结合目估识别法将长历时暴雨分型，最后利用1984—2023年历史灾情资料分析不同暴雨雨型的灾害特征。结果表明：(1)盘锦市长历时暴雨出现年代不均，21世纪00年代以及20世纪90年代暴雨场次较少。长历时暴雨持续时间以6～10 h居多，超过18 h的持续性降雨较少。降雨量在90～110 mm之间的暴雨场次最多。(2)盘锦市长历时暴雨天气形势可分为北上气旋型(42.3%)、冷锋型(20.4%)、大型气旋型(28.7%)和东北冷涡型(8.6%)。(3)将盘锦市长历时暴雨分为7类雨型，其中单峰型最多(53.1%)，其次是均匀型暴雨(25.0%)，双峰型暴雨(21.9%)。单峰型暴雨峰值多位于后期、中期，双峰型暴雨峰值多出现在前部和后部、前部和中部。(4)灾情数据结合暴雨雨型分析表明，中部单峰(Ⅳ)、均匀(Ⅲ)型长历时暴雨易导致盘锦市严重内涝及暴雨洪涝，在防洪排涝时应引起重视。,内涝
让城市“有弹性”“会呼吸”,https://kns.cnki.net/kcms2/article/abstract?v=LYi8dJWcB0UkQWQ0sSWvs1AuTp6NeyyFBuV692EQNu2D2Sn2QBZIRnQ7pXwlPKuB9vKxJE0Rp0_GXmAkrlDhCQtly22TMlQO_LadYhJH8GeCIykjyNr3uPG4vv_jM-650PqVk-_LCkl-QcYYMKjlZNiJF9GGkd4iqEV15TXmno8w80-36MkSrw==&uniplatform=NZKPT&language=CHS,2025,"小雨不积水、大雨不内涝、小区会“呼吸”、公园能“吐纳”……随着海绵城市建设的推进，松原这座年轻的城市，又迎来了“里子”“面子”同时脱胎换骨的一次华丽转变。
2022年6月，松原市成功入选第二批全国系统化全域推进海绵城市建设示范城市。三年示范期内，松原市计划实施......",内涝
强降雨条件下城市排水管网水力模型优化研究,https://kns.cnki.net/kcms2/article/abstract?v=LYi8dJWcB0UkQWQ0sSWvs1AuTp6NeyyFw2Tgb-OK-4KOdJH_jlpx4vDwTfMIlACM5pNO_Wicnvh5pqowN_jbu-oof_1FAtROjIF1qcuqOh-f8dwwBV8xjg8sPPIOGEb3UbM3P9CI8AhsVhJoZoJdBY6lUH65EWQlx92s4hhxz7qaoU5cEclsGQ==&uniplatform=NZKPT&language=CHS,2025,随着全球气候变化的加剧，极端天气事件频发，特别是强降雨现象的增多，给城市排水系统带来了严峻的挑战。城市排水管网作为防洪排涝的重要基础设施，其水力性能直接影响着城市的防涝能力。传统的排水系统设计往往未能充分考虑极端降水的影响，导致在强降雨条件下，排水系统超负荷运作，引发内涝等问题。为了提高城市排水系统的应急能力，本文基于某城市排水管网，采用数值模拟与优化算法相结合的方法，优化水力模型，并进行强降雨情景下的水力性能分析。结果表明，通过优化水力模型，不仅能够显著提升管网的排水效率，减少内涝发生的概率，还能够为城市排水管网的规划和改造提供理论依据。,内涝
面向洪涝遥感大数据分析的阵列数据库建模与多维分析算子设计,https://kns.cnki.net/kcms2/article/abstract?v=LYi8dJWcB0UkQWQ0sSWvs1AuTp6NeyyF-3j5wdIHA0xl7FMGN38UywRfapm5tiFRRXUj_bpfo-BPhqErujH2TmJnoNbHiHSxqK0dwuglZwbaqt5N1v-opjLqCAh11q5Wy0hb3kImUUQgsAarg5XyE4qQWByK3JgrQ5XUz0vYQQCbJXdo2upmFA==&uniplatform=NZKPT&language=CHS,2025,为提升洪涝遥感大数据的分析效率与精度，研究基于山东德州典型洪涝灾害场景，开展面向阵列数据库建模与多维分析算子的优化试验。通过构建多源异构数据存储架构，结合多维分析算子设计，评估数据处理效率与分析结果可靠性。结果表明，研究方法将遥感影像处理耗时压缩至3.1h，数据写入速率稳定在1.2～1.4GB/s，提取精度稳定在88%～92%，误判率稳定在4%～8%。由此可见，该方法适用于极端天气频发地区的洪涝灾害应急响应，在水利监测与灾害预警领域具备良好的推广价值。,内涝
城市地下管网更新改造中的智慧排水技术应用,https://kns.cnki.net/kcms2/article/abstract?v=LYi8dJWcB0Xewn_U02hcSOrQgjZWLTopyZuS_necru9sM3llELtxZItW5MHpNWbrr_QAhm80L6b9jLVo9loHHtyRjS9B4FpteCtrUtq0kZLSFmUOrnxkAFs8xreyA2lumrObw1AujWkX8vsHwjUYnTzAf9OM2IL5hLzCHgAb5vaJYd414ySgLg==&uniplatform=NZKPT&language=CHS,2025,"针对甘肃省张掖市高台县城区雨水管路密集、冻土厚、空间窄等典型难点和条件限制，提出锯齿形偏沟加深、极限空间排管双列/叠置布置优化等工程手段的改造策略。从排水设施本身入手，通过物联网在线监控和洪涝动力学建模实现内涝报警功能，并以GIS-BIM数字孪生技术辅助雨污泵站AI计算功能，从而实现污水管道淤堵风险智能研判和风险预判。在应对高台县城区苛刻条件时，智慧技术的适用性经实验证明可以较大幅度地提升雨水管路的排水能力，降低管理维护成本35%,减少内涝损失，为类似环境受限严苛城区的治理提供一种适宜的借鉴模式。",内涝
